This profile was last updated,Status,User ID,Name of Firm,"Trade Name (""Doing Business As ..."")",DUNS Number,Parent DUNS Number,"Address, line 1","Address, line 2",City,State,Zip,Phone Number,Fax Number,E-mail Address,WWW Page,E-Commerce Website,Contact Person,County Code (3 digit),Congressional District,Metropolitan Statistical Area,CAGE Code,Year Established,Accepts Government Credit Card?,GSA Advantage Contract(s)
08/18/2020,Active,P2236841,TRAJECTUP LLC,,838523574,,158 WASHINGTON AVENUE,,TAPPAN,NY,10983-1845,845-398-6001,,services@trajectup.com,http://trajectup.com,http://trajectup.com,leslie laboriel,087,17,5600,7XB28,2016,[X] Yes [  ] No,
01/08/2021,Active,P2576036,DOMESTIC ROOFS DIAGNOSTICS LLC,,104300976,,2765 THROOP AVE,,BRONX,NY,10469-5326,917-985-0157,,domesticroofs@outlook.com,,,MUHAMMAD  Z AABDIN,005,14,5600,8TV54,2020,[  ] Yes [X] No,
05/04/2021,Active,P2609894,Ghar Ventures Inc.,Vin Sur Vingt,021295668,,201 W 11th St,,New York,NY,10014-2208,607-221-0610,,DILIP.HARI@DPNYHOSPITALITY.COM,,,DILIP HARI,061,10,5600,908G3,2010,[  ] Yes [X] No,
08/11/2020,Active,P2384246,McLarren Consulting Inc,,072816711,,4149 MONTICELLO AVENUE,,BRONX,NY,10466-2109,347-512-6121,,paulamclarren@mclarrenbookkeepinginc.com,,,Paula McLarren-Johnson,005,16,5600,8CHG7,2016,[X] Yes [  ] No,
07/28/2020,Active,P0228475,"C.v. Associates Ny; Pe, LS, P.C.",,005504472,,148 STATE ROUTE 17M STE 2,,HARRIMAN,NY,10926-3318,845-774-1075,845-774-8139,cvany@cvassociatesny.com,http://www.cvassociatesny.com,,C V  Shashikumar,071,18,5660,1TCT0,1995,[  ] Yes [X] No,
01/26/2021,Active,P2579899,ROCK BY ROCK LLC,,101275867,,3263 37TH ST APT 2A,,ASTORIA,NY,11103-0000,347-238-5178,,sungae.yang@rockbyrock.com,www.rockbyrock.com ,,SungAe Yang,081,12,5600,8UKB9,2019,[X] Yes [  ] No,
08/18/2020,Active,P2495678,"NKP STRATEGIES, LLC",,117561695,,210 MARCUS GARVEY BLVD APT 2,,BROOKLYN,NY,11221-6726,917-890-6792,,nija.perry@me.com,,,Nija K Perry,047,08,5600,8NVP1,2020,[X] Yes [  ] No,
01/21/2021,Active,P2576725,Stone Syren Freight Corp,,117829934,,1766 Lincoln Ter,,Peekskill,NY,10566-4112,917-334-2979,,stonesyrenfreightcorp@gmail.com,,,Yalanda Gaston,119,17,5600,8UAB8,2020,[  ] Yes [X] No,
03/15/2021,Active,P0692864,POSITIVE MOVES,,189044030,,20 E 109th St Apt 4B,,NEW YORK,NY,10029-3405,347-723-1070,718-953-5699,herbc2003@yahoo.com,,,HERBERT  WHITE,061,13,5600,45V13,2005,[X] Yes [  ] No,
08/11/2020,Active,P0958719,"Zebra Strategies, Inc.",,794993126,,421 7th Ave,,New York,NY,10001-2002,212-244-3960,917-591-2934,denene@zstrategies.net,http://www.zstrategies.net,http://www.zstrategies.net,DENENE RODNEY,061,12,5600,527Q2,2000,[X] Yes [  ] No,GS-23F-061AA
12/05/2020,Active,P1308183,"BROOKSIDE PAINTING, INC",,361318090,,475 FIFTH AVE 2ND FL,,PELHAM,NY,10803-1253,914-738-0103,914-738-7192,ellyr@brooksidepainting.com,,https://www.brooksidepainting.com,Elly M Roman,119,16,5600,63U66,2000,[  ] Yes [X] No,
09/09/2020,Active,P1923182,"Urban Ecospaces, Inc.",,079743441,,6143 186th St Suite 212,,Fresh Meadows,NY,11365-2710,929-575-6502,929-575-6520,tperry@urbanecospaces.com,www.urbanecospaces.com,,Tamia Perry,081,06,5600,7BWD4,2009,[  ] Yes [X] No,
01/08/2021,Active,P0793168,"TechnoVax, Inc.",,361464907,,6 WESTCHESTER PLZ,,ELMSFORD,NY,10523-1611,914-345-2300 x1         ,914-345-6104,jmgalarza@technovax.com,http://www.technovax.com,,JOSE  M. Galarza,119,17,5600,4HCV5,2004,[  ] Yes [X] No,
04/23/2021,Active,P2607600,L.A Consulting Firm LLC,,117976257,,638 Crotona Park S Apt 1,,Bronx,NY,10456-2222,917-887-3366,,alisa@laconsultingnyc.com,,,Alisa Lozano,005,15,5600,8ZQB2,2021,[X] Yes [  ] No,
10/14/2020,Active,P2008776,Atlantica International Group Inc,,170872373,,1690 Edgemere Drive,,Rochester,NY,14612-1516,585-281-2110,585-227-8767,Atlanticaintl@rochester.rr.com,,,Jesus Barberia,055,25,6840,7JXY6,1999,[  ] Yes [X] No,
08/31/2020,Active,P1894974,Wolf Clan LLC,,079536253,,1115 E Main St,,Rochester,NY,14609-6152,585-775-7589,,tess@wolfclanllc.com,,,Tess Padmore,055,25,6840,7A8D2,2011,[X] Yes [  ] No,
05/25/2021,Active,P1624609,"DUCONGE, ALTON",,968663174,,2340 BEAUMONT AVE APT C3,,BRONX,NY,10458-8433,718-561-4463,,alton.duconge@outlook.com,,,ALTON A DUCONGE,005,15,5600,6NCS3,2011,[  ] Yes [X] No,
05/11/2021,Active,P1290924,"BLOONI DESIGNS, LLC",,963479303,,"2245 FIRST AVENUE, 2ND FLOOR",,NEW YORK,NY,10029-1646,347-672-4724,,rsmith@bloonidesigns.com,,,Regina Smith,061,13,5600,630B9,2009,[  ] Yes [X] No,
08/20/2020,Active,P2194180,"Washington Crown Center Realty Holding,LLC",,080557029,,1010 Northern Blvd,,Great Neck,NY,11021-5317,646-824-8924,917-386-2274,mikekohen@yahoo.com,,,Mehran Kohansieh,059,03,5380,7TPX6,2016,[  ] Yes [X] No,
02/12/2021,Active,P2585814,WALKER HOMES LLC,,063281297,,879 School Dr,,Baldwin,NY,11510-1124,516-351-2146,,ddcarrington@gmail.com,,,Danielle Carrington,059,04,5380,8VF15,2007,[X] Yes [  ] No,
07/27/2020,Active,P0339984,POWER RESOURCES INTERNATIONAL INC.,,825401060,,31 NANCY ST,,WEST BABYLON,NY,11704-1403,631-643-3170 x213       ,631-643-3175,MIKE.DOMBROWSKI@PRIINC.COM,http://www.PRIINC.com,,MIKE  DOMBROWSKI,103,02,5380,1ZA59,1992,[X] Yes [  ] No,
09/01/2020,Active,P2496957,STUDIO ELSEWHERE LLC,,117572165,,16 Dean St Unit 4B,,Brooklyn,NY,11201-6240,929-271-0691,,mirelle@studioelsewhere.co,www.studioelsewhere.co,,Mirelle Phillips,047,07,5600,8PVQ4,2019,[X] Yes [  ] No,
03/17/2021,Active,P0423215,"FPM Remediations, Inc.",,131528254,,181 Kenwood Ave,,Oneida,NY,13421-2829,315-336-7721 x202       ,315-336-7722,g.atik@fpm-remediations.com,,https://www.fpm-remediations.com/,Gaby A. Atik,053,22,8160,3LNB7,2003,[X] Yes [  ] No,GS-10F-0113V
10/16/2020,Active,P2518496,BETTER LOCAL BUSINESS AGENCY LLC,,083689440,,3038 BOUCK AVE,,BRONX,NY,10469-5101,212-202-0311 x1001      ,,haylesm@blbagency.com,www.betterlocalbusinessagency.com,https://www.mwbecloud.com,Mark Hayles,005,16,5600,8RL42,2014,[X] Yes [  ] No,
10/14/2020,Active,P1079836,ARROW CONTRACTING INC,,966562662,,5550 STATE RTE 96,,FARMINGTON,NY,14425-8970,585-924-1570,585-924-1577,arrowcontracting@aol.com,,,Kelly Davis,069,27,6840,5GC29,1996,[  ] Yes [X] No,
02/23/2021,Active,P2327999,L Stacks Construction Co. LLC,,081333667,,108 Lynn Cir,,Syracuse,NY,13205-2805,315-877-5379,,lstackhouse@twc.com,,,Larry  D Stackhouse,067,24,8160,85VF9,2018,[  ] Yes [X] No,
07/25/2020,Active,P2485365,BHFE SOLUTIONS INC,,035289715,,4104 AVENUE T,,BROOKLYN,NY,11234-5032,212-444-2424,,rozone@bhfesolutions.com,bhfesolutions.com,https://bhfesolutions.com,raymond ozone,047,08,5600,8ND90,2018,[X] Yes [  ] No,
03/12/2021,Active,P2495455,"L.D.G. ENTERPRISES, LLC","Hearts, Minds and Dreams Educational Consultants",611182929,,776 Greene Ave Ste 1,,Brooklyn,NY,11221-6868,917-375-9182,718-453-9294,ldgedconsultant@gmail.com,,,Linda Green,047,08,5600,8SNM2,2020,[  ] Yes [X] No,
10/30/2020,Active,P2552867,Automated Property Closings LLC,,117720208,,13722 97th Ave # 2,,Jamaica,NY,11435-4415,917-655-0563,,automatedpropertyclosings@gmail.com,,,Peter Esperance,081,05,5600,8RXD1,2020,[X] Yes [  ] No,
05/20/2021,Active,P2616996,SPARKLENYC LLC,,124101308,,454 W 50TH ST APT 3R,,NEW YORK,NY,10019-6567,347-839-5674,,julie@sparklenyc.com,,,Julie Arora,061,10,5600,90ZB5,2020,[  ] Yes [X] No,
03/21/2021,Active,P0275486,"Croop-Lafrance, Inc.",,120717132,828223508,579A Main Street,,Oneida,NY,13421-2452,315-361-7747,315-361-8621,joseph.cavano@onenterprises.com,www.croop-lafrance.com,,Joseph Cavano,053,22,8160,3TTT4,1995,[X] Yes [  ] No,
01/25/2021,Active,P2568605,Wolfborn Builders LLC,,117794806,,11 Crane St Fl 1,,Kingston,NY,12401-3301,848-468-2760,,wolfbornbuilders@gmail.com,www.wolfbornbuilders.com,Http://www.wolfbornbuilders.com,Kevin McGonigle,111,19,,8TF49,2020,[X] Yes [  ] No,
05/02/2021,Active,P2301581,"Vorzan Logistics, LLC",,081175497,,122 Gramatan Ave,,Mount Vernon,NY,10550-1206,800-720-0825,800-674-7825,pogaga@vorzanllc.com,www.vorzanllc.com,https://vorzanllc.com,Pamela Ogaga,119,16,5600,83B85,2018,[X] Yes [  ] No,
08/31/2020,Active,P2489938,L'ATELIER FORTE INC.,,076725165,,482 BROOME ST FL 4,,NEW YORK,NY,10013-2273,646-915-6110,,chris@latelierforte.com,,https://laforte.co/,Jee Hyun Lee,061,10,5600,8NPF6,2019,[X] Yes [  ] No,
01/21/2021,Active,P2330118,"INSTANT EQUILIBRIUM, LLC",,110607258,,641 GROOMS ROAD STE 117,,CLIFTON PARK,NY,12065-5912,512-761-8867,,operations@instantequilibrium.com,,,Camille Nisich,091,20,0160,863U7,2014,[  ] Yes [X] No,
06/02/2021,Active,P1726289,Trace Assets Protection Service LLC,,078764731,,27 Clyde Avenue,,Buffalo,NY,14215-2237,716-578-3046,716-424-2811,asanders@traceprotection.com,www.traceprotection.com,https://www.traceprotection.com,Anita Sanders,029,26,1280,6W3W3,2012,[X] Yes [  ] No,
04/21/2021,Active,P1691517,Lerco Electric LLC,,555975320,,370 E 146th St,,Bronx,NY,10455-4022,718-585-5529,718-585-5539,lercoelect@yahoo.com,,,LEONCIO REYES,005,15,5600,7SJ24,2005,[  ] Yes [X] No,
11/20/2020,Active,P2560976,DI YARD CORPORATION,,095933259,,2186 5TH AVE APT 15C,,NEW YORK,NY,10037-2719,646-924-9789,,Kennymskeen@gmail.com,,,Ken Skeen,061,13,5600,8SRW0,2013,[  ] Yes [X] No,
06/17/2020,Active,P0623122,RAM'S BOTTLED WATER AND COOLERS INC.,,883243412,883243412,111-06 101 AVE,,SOUTH RICHMOND HILL,NY,11419-1122,800-886-6218,718-441-5261,sales@ramsbottledwater.com,http://www.ramsbottledwater.com,https://www.ramsbottledwater.com,PATRICK RAMLALL RAMLALL,081,05,5600,3YEK5,1993,[X] Yes [  ] No,
03/18/2021,Active,P2593818,"MATTERMETRICS, LLC",,017725772,,1002 DEAN ST STE 15,,BROOKLYN,NY,11238-3303,917-841-8435,,chris@matmtrx.com,www.matmtrx.com,,Christopher Barriteau,047,09,5600,8WJM5,2017,[X] Yes [  ] No,
01/13/2021,Active,P1917610,VETBIZ LLC ,,079685564,,20 Legere court ,,Wappingers Falls,NY,12590-6460,973-449-8260,,dan.lee@vetbizllc.com,http://www.vetbizllc.com,,Daniel C Lee,027,18,2281,7F5K6,2015,[  ] Yes [X] No,
02/20/2021,Active,P2440004,Peralta Metal Works Inc.,,623181799,,602 ATKINS AVE,,BROOKLYN,NY,11208-5202,718-649-8661,,PeraltaMetalW@gmail.com,,,Michael Peralta,047,08,5600,8HHQ6,2020,[  ] Yes [X] No,
12/03/2020,Active,P1946563,RIVER ARCHITECTS PLLC,,606922461,,178 MAIN ST,,COLD SPRING,NY,10516-2817,845-265-2254,,finance@riverarchitects.com,www.riverarchitects.com,,Juhee Lee Hartford,079,18,5600,7FC81,2012,[  ] Yes [X] No,
08/16/2020,Active,P2491509,GORDON ANDRES CORP,,039907850,,439 WORTMAN AVENUE,,BROOKLYN,NY,11208-5423,718-314-2719,,contact@gordonandres.com,,,Gordon Wilson,047,08,5600,8P7D4,2017,[X] Yes [  ] No,
04/21/2021,Active,P2488430,"FPM-NARCHITECTS JV, LLC",,117585606,,640 JOHNSON AVE STE 101,,BOHEMIA,NY,11716-2624,631-737-6200 x225       ,631-737-2410,c.schwarz@fpm-group.com,,,Christopher M Schwarz,103,02,5380,8NRX5,2020,[  ] Yes [X] No,
04/08/2021,Active,P2557302,"Adaptive Green, Inc.",,080387809,,379 W Broadway,,New York,NY,10012-5121,443-834-4681,,amanda@adaptivegreen.com,,https://www.adaptivegreen.com,Amanda Clark,061,10,5600,8S9K7,2016,[  ] Yes [X] No,
02/12/2021,Active,P2330413,Titan Alliance Import & Export Corp.,,081362954,,90 Lorillard Rd,,Tuxedo Park,NY,10987-4015,917-558-0361,,gary.c@titanacorp.com,,,Gary Cheung,071,18,5660,85XD8,2016,[X] Yes [  ] No,
01/26/2021,Active,P1156413,GEDEON ENGINEERING P.C.,GEDEON G R C CONSULTING,941129876,,6901 JERICHO TPKE STE 216,,SYOSSET,NY,11791-4459,516-873-7010,516-873-7011,marketing@gedeongrc.com,http://www.gedeongrc.com,,Jamie  Reve,059,03,5380,5SKB3,2000,[  ] Yes [X] No,
01/29/2021,Active,P2412792,MTX Group Inc,,117113888,,1450 Western Ave Ste 304,,Albany,NY,12203-3539,518-952-5333,,shannon.kellie@mtxb2b.com,,https://www.mtxb2b.com,Shannon Montemorano,001,20,0160,8PB60,2018,[X] Yes [  ] No,
01/08/2021,Active,P2429513,"Renaissance Geotechnical Engineering, PLLC",,117386028,,6 OLDE COACH RD,,SCHENECTADY,NY,12302-3704,518-902-9222,,al@renaissancegeo.com,www.renaissancegeo.com,https://renaissancegeo.com,Alseny Diop,093,20,0160,8GMR0,2020,[X] Yes [  ] No,
04/23/2021,Active,P2568872,STATMASK LLC,,122979674,,3330 83RD ST,,JACKSON HEIGHTS,NY,11372-1456,727-458-2985,,Statmask@gmail.com,Www.thestatmask.com,Http://Www.thestatmask.com,Christopher Pin,081,14,5600,8ZQJ3,2014,[  ] Yes [X] No,
12/09/2020,Active,P2431488,Kk Sankar Mahadev Corporation,Holiday Inn Express Staten Island,047740730,,300 Wild Ave,,Staten Island,NY,10314-4710,718-370-8777,,DKUMAR@ACEHOTELGROUP.COM,,,DHRUV KUMAR,085,11,5600,8GUF1,2003,[X] Yes [  ] No,
03/21/2021,Active,P2464209,VENABILIS LLC,,117514314,,68 BRADHURST AVE APT 1P,,NEW YORK,NY,10039-0113,202-379-6030,,sidney@venabilis.com,www.venabilis.com,,Sidney  N Nakahodo,061,13,5600,8KVA2,2018,[  ] Yes [X] No,
11/27/2020,Active,P1075291,Trivision Group Inc.,,830327149,,11115 QUEENS BLVD STE 3,,FOREST HILLS,NY,11375-7422,212-869-5455,212-869-5432,info@trivisioninc.com,http://www.trivisioninc.com/,,Vijay Shenoy,081,06,5600,5FPJ7,2001,[X] Yes [  ] No,47QTCA19D00JL
05/08/2021,Active,P2613403,ROOPCHAND WEDDING INC.,,118045866,,9525 123RD ST STE 3A,,SOUTH RICHMOND HILL,NY,11419-1428,516-805-8268,,Emailus@roopchand.wedding,,,Shayna  Prophet,081,05,5600,8ZNG5,2019,[X] Yes [  ] No,
09/19/2020,Active,P2480627,MONAKI INC,,088585028,,260 W 35th St Ste 401,,New York,NY,10001-2525,212-840-1090,,AMOON@MNKCOLLECTION.COM,www.monakiinc.com,,EUN KYOUNG  MOON,061,10,5600,8QJX5,2018,[  ] Yes [X] No,
06/11/2020,Active,P2145710,"Delgado, William J.",,080427264,,104 Barwick St,,Floral Park,NY,11001-1610,516-413-8876,,wdelgado.panynjret@gmail.com,,,William J. Delgado,059,04,5380,7QPC9,2016,[  ] Yes [X] No,
09/22/2020,Active,P0534559,YOUNG & UNIQUE CORPORATION,,018882568,,88 LAKE ST STE 2,,NEWBURGH,NY,12550-5261,845-561-0500,845-561-8460,younguniquechildcare@msn.com,,,DESIREE  WATSON,071,18,5660,38NC5,1999,[X] Yes [  ] No,
10/18/2020,Active,P2429510,BLUESTONE CONSTRUCTION GROUP INC,,121855223,,82 BRIGHTON 11TH ST,,BROOKLYN,NY,11235-5300,646-707-2047,,BLUESTONEGROUP90@GMAIL.COM,,,RAVINDER SINGH,047,08,5600,8GKZ2,2019,[  ] Yes [X] No,
10/23/2020,Active,P2500379,Elewa LLC,,117586957,,790 Eldert Ln 1f,,Brooklyn,NY,11208-4751,347-987-9735,,Sanyaabisola@gmail.com,https://www.elewatv.com/,,Abisola Sanya,047,08,5600,8PS00,2020,[  ] Yes [X] No,
07/15/2020,Active,P2474373,UNITED INDUSTRIES UNLIMITED L.L.C.,,116942901,,18 Park Dr E,,Syosset,NY,11791-5213,917-578-4679,,unitedindustriesunlimited@gmail.com,,,Susan Mathew,059,03,5380,8MYR3,2015,[  ] Yes [X] No,
05/05/2021,Active,P2611898,Fonseca Advisers LLC,,117499739,,1537 Royce St #3C,,Brooklyn,NY,11234-5883,212-763-7705,,MILTON@FONSECAADVISERS.COM,,,MILTON FONSECA,047,08,5600,8ZRV0,2018,[  ] Yes [X] No,
06/01/2021,Active,P0333232,"Amplitech, Inc.",,124114294,,620 JOHNSON AVE STE 2,,BOHEMIA,NY,11716-2658,631-521-7831 x213       ,631-521-7871,jpastore@amplitechinc.com,http://www.amplitechinc.com,,John P. Pastore,103,02,5380,3CS43,2002,[X] Yes [  ] No,
11/24/2020,Active,P1601312,"Technology Professionals Group, Inc",Cloud and Things,118038723,,15 Yardley Ct,,Loudonville,NY,12211-2646,518-336-5511,518-514-1214,Kishor@cloudandthings.com,http://www.cloudandthings.com,,Kishor Bagul,001,20,0160,6LCB3,2002,[  ] Yes [X] No,
06/23/2020,Active,P1000030,HOME HEALTH CARE COMPANION AGENCY,HOME HEALTH CARE & COMPANIONS AGENCY,037368412,,366 ALBANY AVE,,KINGSTON,NY,12401-2524,845-331-1966,845-331-2161,Kevin@hhcac.com,,,Kevin Jordan,111,19,,56QU1,1980,[  ] Yes [X] No,
05/18/2021,Active,P2494276,"Infra Tech Engineering, LLC",,167288864,,57 Beach St Fl 4,,Staten Island,NY,10304-2799,212-514-7500,,ITA@bway.net,,,MASHAL ALI,085,11,5600,86FV3,2005,[  ] Yes [X] No,
10/30/2020,Active,P2552024,MIDLAND SERVICES CORP.,,129497667,,204 MIDLAND AVE,,TUCKAHOE,NY,10707-4308,914-329-4105,,MIDLANDSERVICESCORP@GMAIL.COM,,,CLAUDIA F JURADO,119,16,5600,8RYX5,2019,[  ] Yes [X] No,
08/18/2020,Active,P2415015,"CONCENTRIC CONSULTING GROUP, LLC",,117167037,,535 Dean St Ph 105,,Brooklyn,NY,11217-5207,917-599-6081,,rory@concentriccg.com,https://www.concentriccg.com/,,Rory M Christian,047,09,5600,8ET36,2010,[  ] Yes [X] No,
03/25/2021,Active,P2596728,GOLD CROWN ACCOUNTING & TAX SERVICES LLC,,032384962,,80 DOEHAVEN CIR,,DEPEW,NY,14043-1732,716-603-9895,,kpitts28notarypublic@gmail.com,,,Karen Pitts,029,27,1280,8WVY1,2020,[X] Yes [  ] No,
07/16/2020,Active,P1980169,"Adrienne Nicole Productions, LLC",,079959952,,300 CADMAN PLZ W FL 12,,Brooklyn,NY,11201-3226,646-599-4911,,info@producedbyanp.com,,,Adrienne Freeman,047,08,5600,7FXW0,2010,[X] Yes [  ] No,
01/08/2021,Active,P2211724,"Robis Analytics, LLC",,080657933,,8 SETON CT,,PENFIELD,NY,14526-9792,585-888-3080,,cfarris@robisanalytics.com,www.robisanalytics.com,http://www.robisanalytics.com,Charles W Farris,055,25,6840,7V1F6,2015,[  ] Yes [X] No,
06/30/2020,Active,P0224823,Fox Travel & Tours,,795587658,,237 1st Ave Ste 201,,New York,NY,10003-2919,212-598-0205,212-598-0184,foxtravel@att.net,www.foxtravelandtours.com,,Marilyn L Weaver-Fox,061,12,5600,3P0Q0,1990,[X] Yes [  ] No,
04/16/2021,Active,P2233827,"SEVEN WORLD ASSOCIATES, INC.",,027499233,,69 ESOPUS AVE,,ULSTER PARK,NY,12487-5413,877-707-0982 x1000      ,877-997-2984,bburnette@sevenworldinc.com,www.sevenworldinc.com,http://www.sevenworldinc.com,BRANDON D BURNETTE,111,19,,7X1H4,2017,[X] Yes [  ] No,
10/19/2020,Active,P2502704,MMMINT INC,,073227695,,13A SQUAW LN,,MASTIC,NY,11950-5220,800-921-7168,,J.Moya@mmmints.com,,https://mmmints.com,Julio Moya,103,01,5380,8RP91,2018,[X] Yes [  ] No,
11/12/2020,Active,P2157807,JEDOL ASSOCIATES INC.,,047105359,,477 RONKONKOMA AVE,,WEST HEMPSTEAD,NY,11552-4318,516-766-1273,516-766-1273,Jedolassociates@yahoo.com,,,Olurotimi Olojede,059,04,5380,7RXW1,2011,[  ] Yes [X] No,
03/16/2021,Active,P1132665,"Hom, Mark",Hom's Cleaners,154795462,,207 Commack Rd,,Commack,NY,11725-3401,631-499-6289,,markhom@usa.net,,,MARK  Hom,103,03,5380,5PC19,1993,[X] Yes [  ] No,
05/28/2021,Active,P2620375,NHYCHELLE LLC,,101197327,,213 WOODFIELD RD,,WEST HEMPSTEAD,NY,11552-2526,516-225-6016,,nhychelle@gmail.com,,,Nhychelle Lowe,059,04,5380,91CA8,2021,[X] Yes [  ] No,
05/08/2021,Active,P0648199,Oddo Construction Services LLC,,156798501,,6399 Transit Rd,,East Amherst,NY,14051-1621,716-807-8409,,amy@oddoconstruction.com,http://www.oddoconstruction.com,,YONGMI (AMY)  ODDO,029,27,1280,8A1E9,2005,[X] Yes [  ] No,
02/04/2021,Active,P0309251,Specialized Solutions Inc,,118734206,,5 Nancy Pl,,White Plains,NY,10607-1920,716-228-5887,914-598-2301,pagrawal@specializedsolutions.net,http://www.specializedsolutions.info,,PRABHAKAR AGRAWAL,119,17,5600,3BDY0,2001,[  ] Yes [X] No,
07/03/2020,Active,P2469059,SAM HEE INTERNATIONAL INC.,,808171933,,40 W 37th St Ste 1101,,New York,NY,10018-7328,201-250-2602,,lucas.samhee@gmail.com,,,Lucas Mo,061,12,5600,8MLB4,2000,[X] Yes [  ] No,
12/02/2020,Active,P2556873,GMTT Fintech Risk Consulting Inc.,,117738879,,175-05 Wexford Ter Ste 6F,,Jamaica,NY,11432-2859,347-259-7488,,betameg@hotmail.com,,,George Etame,081,05,5600,8SZV1,2020,[  ] Yes [X] No,
12/01/2020,Active,P2153250,All Zone Construction Inc.,,080157655,,135-50 124 St,,Jamaica,NY,11420-3727,917-440-3697,,allzone247@gmail.com,,,Tarlochan Singh,081,05,5600,7SAM0,2011,[  ] Yes [X] No,
